title
Ass
Bate-Chapa
Bicha
Bichona
Bitch
BE
Bloco de Esquerda
Blowjob
Broche
Bófia
Bufa
Bufo
Bosta
Cagadeira
Cagadela
Cagalhão
Caganeira
Cagar
Cagueiro
Caralho
Caralhão
CDS
CDS-PP
Centro Democrático Social-Partido Popular
Cona
Conaça
Cu
dick
Dyke
Escantamento 
Excantamento 
Esporra
Fist Fuck
Foda
Fodas
Foda-se
Fodasse
Fodeu
Fodeu-se
Foder
Fodi
Fodido/a
Fudido/a
Fodilhão
Fodilhona
Fornicar
Fuck
Fufa
Gaja
Gajo
Gay
Gayolas
Jack off
Keca
Larilas
Lolita
Merda
Merdaça
Merdoso
Merdosa
Minete
Naião
Pachacha
Palhaçada
Paneleiro
Partido Comunista
Partido Comunista Português
Partido Social Democrata
Partido Socialista
PCP
Peida
Peido
Piça 
Pénis
Pissa 
Picha
Pila
Pilinha
Pintelhos
Pentelhos
Pívia
Piss off
Poia
Poio
Porra
PS
PSD
Punheta
Puta
Putéfia
Queca
Rimjob
Sacana
Segóvia
Shit
Shitface
WTF
